"length_inf_cm","length_type","k_1_over_y","t_not_years","sex","m_1_over_y","temperature","l_m","theta","country","locality","questionable","captive","species","family","data_type"
77.1,"WD",0.05,-2.2,"M",NA,21,NA,2.47,"South Africa","Agulhas Bank","No","No","Dipturus pullopunctatus","Rajidae","&nbsp"
133,"WD",0.08,-1.95,"F",NA,21,NA,3.15,"South Africa","Agulhas Bank","No","No","Dipturus pullopunctatus","Rajidae","&nbsp"
246.5,"TL",0.087,-1.16,"M",NA,NA,195,3.72,"Chile","Central Chile (39° 45' S) to Magellan Strait, Patagonia (53°30' S)","No","No","Dipturus trachyderma","Rajidae","other annual rings"
265,"TL",0.079,-1.44,"F",NA,NA,215,3.74,"Chile","Central Chile (39°45' S) to Magellan Strait, Patagonia (53°30' S)","No","No","Dipturus trachyderma","Rajidae","other annual rings"
285,"TL",0.067,-0.44,"",NA,NA,197,3.74,"Chile","Regions X and XII","No","No","Dipturus trachyderma","Rajidae","&nbsp"
14.7,"TL",1.2,NA,NA,NA,26.8,5.5,2.41,"Thailand","Sirinthorn Reservoir, Ubon Ratchathani","No","No","Discherodontus ashmeadi","Cyprinidae","length-frequencies"
95.9,"TL",0.12,NA,"M",NA,NA,NA,3.04,"Kerguelen Is.","off Kerguelen.","No","No","Dissostichus eleginoides","Nototheniidae","length-frequencies"
98.2,"TL",0.13,NA,"",NA,NA,NA,3.1,"Kerguelen Is.","off Kerguelen.","No","No","Dissostichus eleginoides","Nototheniidae","length-frequencies"
103.5,"TL",0.11,NA,"F",NA,NA,NA,3.07,"Kerguelen Is.","off Kerguelen.","No","No","Dissostichus eleginoides","Nototheniidae","length-frequencies"
126,"",0.08,-0.7,"",0.13,NA,NA,3.1,"S. Georg. Sandw.","South Georgia-Shag Rocks (SGSR) stock and other areas N and W","No","No","Dissostichus eleginoides","Nototheniidae","tagging/recapture"
134.3,"TL",0.118,0.08,"M",NA,NA,NA,3.33,"Macquarie Is.","Macquarie Ridge (PTO 1)","No","No","Dissostichus eleginoides","Nototheniidae","&nbsp"
158.7,"TL",0.085,-0.35,"F",NA,NA,NA,3.33,"Macquarie Is.","Macquarie Ridge (PTO 1)","No","No","Dissostichus eleginoides","Nototheniidae","&nbsp"
198,"",0.04,-2.3,"",NA,NA,NA,3.19,"Kerguelen Is.","Heard Island","No","No","Dissostichus eleginoides","Nototheniidae","&nbsp"
204,"",0.057,0.85,"",NA,NA,NA,3.38,"","","No","No","Dissostichus eleginoides","Nototheniidae","&nbsp"
169.1,"FL",0.093,-0.3,"M",NA,NA,NA,3.42,"Antarctica","Antarctic","No","No","Dissostichus mawsoni","Nototheniidae","&nbsp"
180.2,"FL",0.09,0.02,"F",NA,NA,NA,3.47,"Antarctica","Antarctic","No","No","Dissostichus mawsoni","Nototheniidae","&nbsp"
183,"TL",0.09,-0.1,"",NA,NA,NA,3.48,"Antarctica","Ross Sea","No","No","Dissostichus mawsoni","Nototheniidae","annuli on many otoliths"
185,"TL",0.056,-4.73,"",NA,NA,NA,3.28,"Antarctica","McMurdo Sound","No","No","Dissostichus mawsoni","Nototheniidae","annuli on many otoliths"
29,"TL",0.83,NA,NA,NA,28,NA,2.84,"Senegal","Lake Guiers","No","No","Distichodus rostratus","Distichodontidae","length-frequencies"
106,"SL",0.182,NA,NA,NA,NA,NA,3.31,"Niger","Niger-Bénoué","No","No","Distichodus rostratus","Distichodontidae","&nbsp"
30.8,"TL",0.351,NA,NA,NA,10,NA,2.52,"Japan","35°10'N 132°E, 100 m","No","No","Doederleinia berycoides","Acropomatidae","&nbsp"
15,"TL",0.5,NA,NA,0.7,4,NA,2.05,"USA","California current","No","No","Dolichopteryx longipes","Opisthoproctidae","annuli on many otoliths"
10.1,"SL",0.2,-1.74,"M",NA,NA,NA,1.31,"Antarctica","Weddell Sea","No","No","Dolloidraco longedorsalis","Artedidraconidae","annuli on many otoliths"
14.1,"SL",0.08,-4.44,"F",NA,NA,NA,1.2,"Antarctica","Weddell Sea","No","No","Dolloidraco longedorsalis","Artedidraconidae","annuli on many otoliths"
41,"TL",0.57,NA,NA,NA,NA,NA,2.98,"Ecuador","Chone River Basin","No","No","Dormitator latifrons","Eleotridae","direct observation"
43.6,"TL",0.179,NA,NA,NA,NA,NA,2.53,"USA","ponds, Indiana","No","Yes","Dorosoma cepedianum","Clupeidae","&nbsp"
43.7,"TL",0.48,NA,NA,NA,NA,NA,2.96,"USA","Iowa and South Dakota","No","No","Dorosoma cepedianum","Clupeidae","&nbsp"
40.1,"TL",0.24,NA,NA,NA,26.6,NA,2.59,"Sierra Leone","","No","No","Drepane africana","Drepaneidae","length-frequencies"
40.8,"TL",0.25,NA,NA,NA,26.6,NA,2.62,"Sierra Leone","","No","No","Drepane africana","Drepaneidae","length-frequencies"
54.3,"TL",0.134,NA,NA,NA,20,NA,2.6,"Senegal","Dakar","No","No","Drepane africana","Drepaneidae","length-frequencies"
42.4,"TL",0.219,NA,NA,NA,21,NA,2.6,"South Africa","","No","No","Drepane punctata","Drepaneidae","&nbsp"
43,"TL",0.68,NA,NA,NA,28,NA,3.1,"Indonesia","Java Sea (South Kalimantan)","No","No","Drepane punctata","Drepaneidae","length-frequencies"
46.5,"TL",0.19,0.03,NA,NA,29,NA,2.61,"Yemen","Gulf of Aden","No","No","Drepane punctata","Drepaneidae","other annual rings"
19.4,"FL",1.2,NA,NA,NA,28.7,NA,2.65,"Philippines","Visayas","No","No","Dussumieria acuta","Dussumieriidae","length-frequencies"
21,"FL",1.05,NA,NA,NA,28.7,NA,2.67,"Philippines","Ragay Gulf","No","No","Dussumieria acuta","Dussumieriidae","length-frequencies"
22,"FL",0.8,NA,NA,NA,28.7,NA,2.59,"Philippines","Guimaras Strait","No","No","Dussumieria acuta","Dussumieriidae","length-frequencies"
22.5,"FL",0.55,NA,NA,NA,28.7,NA,2.44,"Philippines","Guimaras Strait","No","No","Dussumieria elopsoides","Dussumieriidae","length-frequencies"
93,"FL",0.214,NA,NA,NA,NA,NA,3.27,"","Equatorial Western Pacific","No","No","Elagatis bipinnulata","Carangidae","&nbsp"
97.5,"FL",0.6,NA,NA,NA,28.5,NA,3.76,"Philippines","Moro Gulf","No","No","Elagatis bipinnulata","Carangidae","length-frequencies"
105,"FL",0.248,NA,NA,NA,NA,NA,3.44,"","North-west and western equatorial Pacific","No","No","Elagatis bipinnulata","Carangidae","length-frequencies"
9.7,"SL",0.25,0.01,"M",NA,20,NA,1.37,NA,"Western South Atlantic (about 53°-64°S, 26°-67°W)","No","No","Electrona antarctica","Myctophidae","annuli on many otoliths"
12.9,"SL",0.17,0.13,"F",NA,20,NA,1.45,NA,"Western South Atlantic (about 53°-64°S, 26°-67°W)","No","No","Electrona antarctica","Myctophidae","annuli on many otoliths"
9.7,"SL",0.55,-0.6,NA,NA,20,NA,1.71,NA,"South Atlantic and South Pacific","No","No","Electrona carlsbergi","Myctophidae","annuli on many otoliths"
6.1,"SL",3.03,0.22,NA,NA,14.5,NA,2.05,"Portugal","Eastern North Atlantic","Yes","No","Electrona risso","Myctophidae","annuli on many otoliths"
124,"TL",0.14,NA,NA,NA,NA,NA,3.33,"Falkland Is.","Falkland Islands","No","No","Eleginops maclovinus","Eleginopsidae","&nbsp"
196,"TL",0.07,0.14,NA,NA,NA,NA,3.43,"Falkland Is.","Falklands’ archipelago","No","No","Eleginops maclovinus","Eleginopsidae","annuli on many otoliths"
38,"TL",0.13,NA,NA,NA,NA,NA,2.27,"Russia","Nekshanskaya Laguna","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
38.8,"TL",0.38,NA,NA,NA,NA,NA,2.76,"Russia","Tauiskaya Guba, northern Sea of Okhotsk","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
39.3,"TL",0.14,NA,NA,NA,NA,NA,2.33,"Russia","Nekshanskaya Laguna","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
42.1,"TL",0.29,NA,NA,NA,NA,NA,2.71,"Russia","Terpeniya Bay","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
43.5,"TL",0.17,NA,NA,NA,NA,NA,2.51,"Russia","Sakhalinsky Bay","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
44.2,"TL",0.18,NA,NA,NA,NA,NA,2.55,"Russia","Tatar Strait","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
44.5,"TL",0.22,NA,NA,NA,NA,NA,2.64,"Russia","Yamskaya Guba, northern Sea of Okhotsk","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
47.9,"TL",0.23,NA,NA,NA,NA,NA,2.72,"Russia","Tatar Strait","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
49.1,"TL",0.21,NA,NA,NA,NA,NA,2.7,"Russia","Tauiskaya Guba, northern Sea of Okhotsk","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
49.2,"TL",0.13,NA,NA,NA,NA,NA,2.5,"Russia","Terpeniya Bay","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
50.3,"TL",0.14,NA,NA,NA,NA,NA,2.55,"Russia","Yamskaya Guba, northern Sea of Okhotsk","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
50.3,"TL",0.28,NA,NA,NA,NA,NA,2.85,"Russia","Peter the Great Bay","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
51.4,"TL",0.18,NA,NA,NA,NA,NA,2.68,"Russia","Peter the Great Bay","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
54.8,"TL",0.25,NA,NA,NA,NA,NA,2.88,"Russia","southwestern Kamchatka","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
56.4,"TL",0.17,NA,NA,NA,NA,NA,2.73,"Russia","southwestern Kamchatka","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
58.9,"TL",0.16,NA,NA,NA,NA,NA,2.74,"Russia","southern Kuirl Isl.","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
59.3,"TL",0.13,NA,NA,NA,NA,NA,2.66,"Russia","Karaginsky Bay","No","No","Eleginus gracilis","Gadidae","annuli on many otoliths"
26,"TL",0.279,NA,NA,NA,22.4,NA,2.28,"China","Dongjiang River","No","No","Eleotris oxycephala","Eleotridae","&nbsp"
186.7,"SL",0.08,NA,NA,NA,NA,NA,3.45,"Russia","Amur River","No","No","Elopichthys bambusa","Cyprinidae","scale annual rings"
36.2,"TL",0.48,NA,NA,NA,NA,NA,2.8,"Taiwan","Taiwan Strait and adjacent waters","No","No","Elops machnata","Elopidae","&nbsp"
48,"FL",0.3,NA,NA,NA,27.2,NA,2.84,"Cuba","","No","No","Elops saurus","Elopidae","length-frequencies"
49,"FL",0.22,-0.54,NA,NA,27.2,NA,2.72,"Cuba","Southeast  Zone","No","No","Elops saurus","Elopidae","scale annual rings"
27.9,"FL",0.27,-1.45,"M",NA,NA,14.7,2.32,"Australia","Eastern Tasmania","No","No","Emmelichthys nitidus nitidus","Emmelichthyidae","&nbsp"
29.7,"FL",0.22,-1.76,"F",NA,NA,15.7,2.29,"Australia","Eastern Tasmania","No","No","Emmelichthys nitidus nitidus","Emmelichthyidae","&nbsp"
30.5,"FL",0.16,-4.46,"F",NA,NA,26.1,2.17,"Australia","south-western Tasmania","No","No","Emmelichthys nitidus nitidus","Emmelichthyidae","&nbsp"
30.7,"FL",0.13,-5.47,"M",NA,NA,24.4,2.09,"Australia","south-western Tasmania","No","No","Emmelichthys nitidus nitidus","Emmelichthyidae","&nbsp"
31,"TL",0.25,NA,NA,NA,NA,NA,2.38,"USA","Gulf of Maine","No","No","Enchelyopus cimbrius","Lotidae","annuli on many otoliths"
36,"TL",0.2,NA,NA,0.49,12,25,2.41,"UK","North Sea","No","No","Enchelyopus cimbrius","Lotidae","&nbsp"
43,"TL",0.245,NA,NA,0.49,9,NA,2.66,"Germany","Eckernförde Bay, Baltic","No","No","Enchelyopus cimbrius","Lotidae","&nbsp"
7.4,"FL",2.1,-0.07,NA,7.2,29.9,4.1,2.06,"Papua New Guinea","Ysabel Passage","No","No","Encrasicholina devisi","Engraulidae","length-frequencies"
7.5,"FL",2.4,-0.07,NA,7.4,29.8,NA,2.13,"Papua New Guinea","Cape Lambert","No","No","Encrasicholina devisi","Engraulidae","length-frequencies"
7.8,"NG",2.23,NA,NA,NA,26,NA,2.13,"Solomon Is.","Munda baitground","No","No","Encrasicholina devisi","Engraulidae","length-frequencies"
7.8,"FL",2,-0.07,NA,7.5,28.8,NA,2.09,"Papua New Guinea","Fairfax harbour","No","No","Encrasicholina devisi","Engraulidae","length-frequencies"
7.9,"NG",2.25,NA,NA,NA,26,NA,2.15,"Solomon Is.","Munda baitground","No","No","Encrasicholina devisi","Engraulidae","length-frequencies"
8,"NG",2.3,NA,NA,NA,26,NA,2.17,"Solomon Is.","Munda baitground","No","No","Encrasicholina devisi","Engraulidae","length-frequencies"
8.2,"FL",5.037,NA,NA,NA,29.9,NA,2.53,"Papua New Guinea","Ysabel Passage, New Ireland Province","Yes","No","Encrasicholina devisi","Engraulidae","length-frequencies"
10.2,"TL",1.236,NA,NA,NA,28.2,NA,2.11,"Philippines","Corregidor Islands","No","No","Encrasicholina devisi","Engraulidae","&nbsp"
10.5,"TL",1.8,NA,NA,NA,29.4,NA,2.3,"Thailand","Andaman  Sea Coast","No","No","Encrasicholina devisi","Engraulidae","&nbsp"
7.9,"FL",2.6,-0.04,NA,6.2,29.9,5.1,2.21,"Papua New Guinea","Ysabel Passage","No","No","Encrasicholina heteroloba","Engraulidae","length-frequencies"
8.2,"FL",2.4,NA,NA,NA,26,NA,2.21,"Solomon Is.","Munda baitground","No","No","Encrasicholina heteroloba","Engraulidae","length-frequencies"
8.6,"FL",0.8,NA,NA,NA,28.7,NA,1.77,"Philippines","Guimaras Strait","Yes","No","Encrasicholina heteroloba","Engraulidae","length-frequencies"
8.7,"FL",2.4,-0.04,NA,6.2,29.8,NA,2.26,"Papua New Guinea","Cape Lambert","No","No","Encrasicholina heteroloba","Engraulidae","length-frequencies"
9,"TL",3.65,NA,NA,NA,26,NA,2.47,"Papua New Guinea","","No","No","Encrasicholina heteroloba","Engraulidae","annuli on many otoliths"
9.1,"SL",2.088,-0.01,NA,NA,29,NA,2.24,"Palau","Western Caroline Islands","No","No","Encrasicholina heteroloba","Engraulidae","daily otolith rings"
9.6,"FL",4.088,NA,NA,NA,29.9,NA,2.58,"Papua New Guinea","Ysabel Passage","No","No","Encrasicholina heteroloba","Engraulidae","length-frequencies"
9.7,"SL",2.41,NA,NA,NA,28.2,NA,2.36,"Indonesia","Jakarta Bay","No","No","Encrasicholina heteroloba","Engraulidae","length-frequencies"
10.1,"TL",1.7,NA,NA,NA,29.4,NA,2.24,"Thailand","Andaman  Sea Coast","No","No","Encrasicholina heteroloba","Engraulidae","&nbsp"
10.3,"TL",1.286,NA,NA,NA,28.2,NA,2.13,"Philippines","Corregidor Islands","No","No","Encrasicholina heteroloba","Engraulidae","&nbsp"
10.3,"TL",2.08,NA,NA,NA,27,5.8,2.34,"Indonesia","Singapore Strait","No","No","Encrasicholina heteroloba","Engraulidae","length-frequencies"
11.4,"TL",0.95,NA,NA,NA,28.2,NA,2.09,"Philippines","Manila Bay","No","No","Encrasicholina heteroloba","Engraulidae","length-frequencies"
11.6,"TL",2.3,NA,NA,NA,28,NA,2.49,"Philippines","Tayabas Bay","No","No","Encrasicholina heteroloba","Engraulidae","length-frequencies"
12.1,"TL",1.6,NA,NA,NA,28.2,NA,2.37,"Philippines","Manila Bay","No","No","Encrasicholina heteroloba","Engraulidae","length-frequencies"
12.3,"TL",1.5,NA,NA,NA,28,NA,2.36,"Philippines","South Sulu Sea","No","No","Encrasicholina heteroloba","Engraulidae","length-frequencies"
9.2,"TL",1.15,NA,NA,NA,28.2,NA,1.99,"Philippines","Manila Bay","No","No","Encrasicholina punctifer","Engraulidae","length-frequencies"
10.1,"TL",1.1,NA,NA,NA,28.2,NA,2.05,"Philippines","Manila Bay","No","No","Encrasicholina punctifer","Engraulidae","length-frequencies"
10.1,"TL",1.85,NA,NA,NA,29.4,NA,2.28,"Thailand","Andaman  Sea Coast","No","No","Encrasicholina punctifer","Engraulidae","&nbsp"
10.6,"TL",1.85,NA,NA,NA,28.2,NA,2.32,"Philippines","Manila Bay","No","No","Encrasicholina punctifer","Engraulidae","length-frequencies"
11.6,"TL",1.226,NA,NA,NA,28.2,NA,2.22,"Philippines","Corregidor Islands","No","No","Encrasicholina punctifer","Engraulidae","&nbsp"
12,"TL",2,NA,NA,NA,25,NA,2.46,"Mozambique","Sofala Bank","No","No","Encrasicholina punctifer","Engraulidae","length-frequencies"
12.4,"TL",1.2,NA,NA,NA,28,NA,2.27,"Philippines","South Sulu Sea","No","No","Encrasicholina punctifer","Engraulidae","length-frequencies"
11.4,"TL",1.737,-0.04,NA,NA,25,NA,2.35,"Hawaii","Kaneohe Bay","No","No","Encrasicholina purpurea","Engraulidae","daily otolith rings"
13.8,"TL",2.62,NA,NA,NA,25.2,NA,2.7,"Malawi","Lake Malawi (southeast arm)","Yes","No","Engraulicypris sardella","Cyprinidae","annuli on many otoliths"
16.3,"TL",0.29,-2.47,"",NA,24,NA,1.89,"Brazil","southern region","No","No","Engraulis anchoita","Engraulidae","annuli on many otoliths"
17.3,"TL",0.713,NA,"",1.12,16,NA,2.33,"Argentina","","Yes","No","Engraulis anchoita","Engraulidae","&nbsp"
18.8,"TL",0.24,NA,"M",NA,20,NA,1.93,"Brazil","Southern coast","No","No","Engraulis anchoita","Engraulidae","&nbsp"
19.8,"TL",0.2,NA,"F",NA,20,NA,1.89,"Brazil","Southern coast","No","No","Engraulis anchoita","Engraulidae","&nbsp"
22.3,"TL",0.3,-1.2,"",NA,16.4,NA,2.17,"Argentina","Mar del Plata","No","No","Engraulis anchoita","Engraulidae","&nbsp"
23.2,"TL",0.27,NA,"",1.42,16,NA,2.16,"Argentina","Mar del Plata","No","No","Engraulis anchoita","Engraulidae","length-frequencies"
24.1,"TL",0.24,-2.2,"",NA,16.4,NA,2.14,"Argentina","Mar del Plata","No","No","Engraulis anchoita","Engraulidae","&nbsp"
12.1,"NG",0.39,NA,NA,NA,15,NA,1.76,"Australia",NA,"No","No","Engraulis australis","Engraulidae","&nbsp"
12.7,"TL",0.88,NA,NA,NA,NA,NA,2.15,"South Africa","Benguela system","No","No","Engraulis capensis","Engraulidae","annuli on many otoliths"
9.4,"FL",1.21,-0.37,"",NA,13.6,NA,2.03,"Russia","Azov Sea","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
11.7,"TL",1.16,-0.17,"",NA,13.6,NA,2.2,"Russia","Azov Sea","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
13.2,"TL",0.82,0.5,"",NA,NA,NA,2.15,"Croatia","Zrmanja River estuary (44°15'N, 15°30'E), eastern Adriatic Sea","Yes","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
13.3,"TL",0.61,-1.8,"",NA,NA,NA,2.03,"Russia","Azov basin","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
13.9,"TL",1.73,NA,"",NA,14.3,NA,2.52,"Russia","Black Sea","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
14.1,"TL",1.01,-0.28,"",NA,14.3,NA,2.3,"Russia","Black Sea, Eastern","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
14.2,"TL",0.81,-0.54,"",NA,14.3,NA,2.21,"Russia","Black Sea, Eastern","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
15,"TL",1.26,-0.23,"",NA,14.3,NA,2.45,"Romania","Black Sea, Western","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
15.3,"TL",2.44,NA,"",NA,14,NA,2.76,"Italy","Upper Adriatic","Yes","No","Engraulis encrasicolus","Engraulidae","&nbsp"
15.9,"TL",0.273,-2.85,"M",NA,NA,NA,1.84,"Turkey","Sinop coast","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
15.9,"TL",0.51,NA,"",NA,17.5,8.2,2.11,"Italy","Adriatic Sea","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
16.2,"TL",0.4,-2.04,"",NA,NA,NA,2.02,"Italy","Northern Adriatic (GSA 17)","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
16.5,"TL",1.39,-0.02,"",NA,14,NA,2.58,"Greece","","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
16.6,"TL",0.581,-0.92,"",NA,14.3,NA,2.2,"Bulgaria","Black Sea","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
16.8,"TL",0.324,-2.07,"",NA,14.3,NA,1.96,"Turkey","central-eastern Black Sea","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
16.8,"TL",0.324,-1.99,"",NA,14.3,NA,1.96,"Turkey","Black Sea","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
17,"TL",0.536,-1.24,"M",NA,NA,NA,2.19,"Greece","Thracian Sea","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
17.3,"TL",1.2,NA,"",NA,NA,NA,2.56,"Morocco","Zone A","No","No","Engraulis encrasicolus","Engraulidae","length-frequencies"
17.5,"TL",0.33,-1.87,"M",NA,NA,NA,2,"Italy","Strait of Sicily","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
17.6,"TL",1.28,NA,"",1.8,14,11.5,2.6,"Italy","Bay of Naples","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
17.6,"TL",0.37,NA,"M",NA,NA,NA,2.06,"Algeria","Beni-Saf","No","No","Engraulis encrasicolus","Engraulidae","length-frequencies"
17.9,"TL",0.246,-2.47,"M",NA,NA,NA,1.9,"Turkey","Sinop","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
18,"TL",0.587,-0.85,"F",NA,NA,NA,2.28,"Greece","Thracian Sea","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
18.2,"TL",0.449,-1.09,"",NA,14,NA,2.17,"Spain","Catalan Sea","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
18.2,"TL",0.33,NA,"F",NA,NA,NA,2.04,"Algeria","Beni-Saf","No","No","Engraulis encrasicolus","Engraulidae","length-frequencies"
18.4,"TL",0.177,3.4,"M",NA,NA,NA,1.78,"Turkey","Sinop coast","Yes","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
18.6,"TL",1.21,-0.01,"",NA,10.4,NA,2.62,"UK","North Sea","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
18.6,"TL",0.26,NA,"M",0.5,18.9,NA,1.95,"Algeria","Alger","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
18.6,"TL",0.29,-1.94,"F",NA,NA,NA,2,"Italy","Strait of Sicily","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
18.7,"TL",1.02,NA,"",NA,NA,NA,2.55,"Spain","Gulf of Cádiz","No","No","Engraulis encrasicolus","Engraulidae","length-frequencies"
18.8,"TL",0.154,-4.09,"F",NA,NA,NA,1.73,"Turkey","Sinop coast","Yes","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
18.8,"TL",0.34,NA,"",NA,NA,NA,2.08,"Morocco","","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
18.9,"TL",0.7,NA,"",NA,NA,NA,2.4,"Spain","Gulf of Cádiz","No","No","Engraulis encrasicolus","Engraulidae","length-frequencies"
18.9,"TL",0.74,NA,"",NA,NA,NA,2.42,"Spain","Gulf of Cádiz","No","No","Engraulis encrasicolus","Engraulidae","length-frequencies"
19,"TL",0.22,-2.53,"M",NA,NA,NA,1.9,"Turkey","Sinop","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
19,"TL",0.34,-2.32,"",NA,NA,NA,2.09,"Spain","Western Mediterranean (GSA 1 and 6)","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
19.1,"TL",0.349,-1.45,"",NA,14,NA,2.1,"France","Gulf of Lion","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
19.1,"TL",0.35,-1.45,"",NA,NA,NA,2.11,"France","Gulf of Lions (GSA 7)","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
19.1,"TL",0.38,-1.56,"",NA,NA,NA,2.14,"Greece","Aegean Sea (GSA 22)","No","No","Engraulis encrasicolus","Engraulidae","&nbsp"
19.1,"TL",0.94,NA,"",NA,NA,NA,2.54,"Spain","Gulf of Cádiz","No","No","Engraulis encrasicolus","Engraulidae","length-frequencies"
19.2,"TL",1.07,NA,"",NA,NA,NA,2.6,"Spain","Gulf of Cádiz","No","No","Engraulis encrasicolus","Engraulidae","length-frequencies"
19.3,"TL",0.167,-3.56,"F",NA,NA,NA,1.79,"Turkey","Sinop coast","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
19.4,"TL",0.57,-0.5,"",NA,14,NA,2.33,"Croatia","Middle Adriatic Sea","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
19.4,"TL",0.57,NA,"",NA,17.6,NA,2.33,"Slovenia","Adriatic Sea","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
19.5,"TL",0.38,-0.96,"M",NA,NA,NA,2.16,"Algeria","Beni-Saf","No","No","Engraulis encrasicolus","Engraulidae","annuli on many otoliths"
